ID;Time;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;FreshTyre;Team;Position
42;   02:03:00.07  0 ;VER;1;   00:01:31.441   ;43.0;2.0;31.714;41.806;17.921;HARD;22.0;True;Red Bull Racing;1.0
43;   02:04:31.671   ;VER;1;   00:01:31.601   ;44.0;2.0;31.765;41.892;17.944;HARD;23.0;True;Red Bull Racing;1.0
44;   02:06:03.275   ;VER;1;   00:01:31.604   ;45.0;2.0;31.84;41.816;17.948;HARD;24.0;True;Red Bull Racing;1.0
45;   02:07:34.742   ;VER;1;   00:01:31.467   ;46.0;2.0;31.72;41.841;17.906;HARD;25.0;True;Red Bull Racing;1.0
46;   02:09:06.119   ;VER;1;   00:01:31.377   ;47.0;2.0;31.632;41.827;17.918;HARD;26.0;True;Red Bull Racing;1.0
47;   02:10:37.477   ;VER;1;   00:01:31.358   ;48.0;2.0;31.599;41.852;17.907;HARD;27.0;True;Red Bull Racing;1.0
48;   02:12:08.752   ;VER;1;   00:01:31.275   ;49.0;2.0;31.542;41.814;17.919;HARD;28.0;True;Red Bull Racing;1.0
49;   02:13:40.116   ;VER;1;   00:01:31.364   ;50.0;2.0;31.481;41.886;17.997;HARD;29.0;True;Red Bull Racing;1.0
50;   02:15:11.301   ;VER;1;   00:01:31.185   ;51.0;2.0;31.392;41.775;18.018;HARD;30.0;True;Red Bull Racing;1.0
51;   02:16:42.342   ;VER;1;   00:01:31.041   ;52.0;2.0;31.286;41.708;18.047;HARD;31.0;True;Red Bull Racing;1.0
52;   02:18:13.89  0 ;VER;1;   00:01:31.548   ;53.0;2.0;31.464;41.932;18.152;HARD;32.0;True;Red Bull Racing;1.0
53;   00:57:42.668   ;NOR;4;   00:01:35.761   ;1.0;1.0;33.809;42.21;18.262;MEDIUM;1.0;True;McLaren;2.0
54;   00:59:16.615   ;NOR;4;   00:01:33.947   ;2.0;1.0;33.809;42.049;18.089;MEDIUM;2.0;True;McLaren;2.0
55;   01:00:50.404   ;NOR;4;   00:01:33.789   ;3.0;1.0;33.515;42.096;18.178;MEDIUM;3.0;True;McLaren;2.0
56;   01:02:24.242   ;NOR;4;   00:01:33.838   ;4.0;1.0;33.576;42.123;18.139;MEDIUM;4.0;True;McLaren;2.0
57;   01:03:58.189   ;NOR;4;   00:01:33.947   ;5.0;1.0;33.62;42.142;18.185;MEDIUM;5.0;True;McLaren;2.0
58;   01:05:32.125   ;NOR;4;   00:01:33.936   ;6.0;1.0;33.573;42.304;18.059;MEDIUM;6.0;True;McLaren;2.0
59;   01:07:05.945   ;NOR;4;   00:01:33.82  0 ;7.0;1.0;33.467;42.271;18.082;MEDIUM;7.0;True;McLaren;2.0
60;   01:08:39.533   ;NOR;4;   00:01:33.588   ;8.0;1.0;33.149;42.371;18.068;MEDIUM;8.0;True;McLaren;2.0
61;   01:10:13.045   ;NOR;4;   00:01:33.512   ;9.0;1.0;33.093;42.303;18.116;MEDIUM;9.0;True;McLaren;2.0
62;   01:11:46.693   ;NOR;4;   00:01:33.648   ;10.0;1.0;33.011;42.462;18.175;MEDIUM;10.0;True;McLaren;2.0
63;   01:13:20.267   ;NOR;4;   00:01:33.574   ;11.0;1.0;32.991;42.409;18.174;MEDIUM;11.0;True;McLaren;2.0
64;   01:14:53.732   ;NOR;4;   00:01:33.465   ;12.0;1.0;32.772;42.461;18.232;MEDIUM;12.0;True;McLaren;2.0
65;   01:16:27.198   ;NOR;4;   00:01:33.466   ;13.0;1.0;32.865;42.452;18.149;MEDIUM;13.0;True;McLaren;2.0
66;   01:18:00.711   ;NOR;4;   00:01:33.513   ;14.0;1.0;32.836;42.571;18.106;MEDIUM;14.0;True;McLaren;2.0
67;   01:19:34.221   ;NOR;4;   00:01:33.51  0 ;15.0;1.0;32.866;42.525;18.119;MEDIUM;15.0;True;McLaren;2.0
68;   01:21:07.622   ;NOR;4;   00:01:33.401   ;16.0;1.0;32.626;42.666;18.109;MEDIUM;16.0;True;McLaren;2.0
69;   01:22:40.95  0 ;NOR;4;   00:01:33.328   ;17.0;1.0;32.645;42.599;18.084;MEDIUM;17.0;True;McLaren;2.0
70;   01:24:14.211   ;NOR;4;   00:01:33.261   ;18.0;1.0;32.527;42.562;18.172;MEDIUM;18.0;True;McLaren;2.0
71;   01:25:47.199   ;NOR;4;   00:01:32.988   ;19.0;1.0;32.465;42.471;18.052;MEDIUM;19.0;True;McLaren;2.0
72;   01:27:20.318   ;NOR;4;   00:01:33.119   ;20.0;1.0;32.493;42.539;18.087;MEDIUM;20.0;True;McLaren;2.0
73;   01:28:55.352   ;NOR;4;   00:01:35.034   ;21.0;1.0;32.337;42.48;20.217;MEDIUM;21.0;True;McLaren;2.0
74;   01:30:50.149   ;NOR;4;   00:01:54.797   ;22.0;2.0;54.865;41.955;17.977;HARD;1.0;True;McLaren;6.0
75;   01:32:22.868   ;NOR;4;   00:01:32.719   ;23.0;2.0;32.903;41.891;17.925;HARD;2.0;True;McLaren;6.0
76;   01:33:55.585   ;NOR;4;   00:01:32.717   ;24.0;2.0;32.773;41.938;18.006;HARD;3.0;True;McLaren;5.0
77;   01:35:27.823   ;NOR;4;   00:01:32.238   ;25.0;2.0;32.511;41.782;17.945;HARD;4.0;True;McLaren;5.0
78;   01:37:00.39  0 ;NOR;4;   00:01:32.567   ;26.0;2.0;32.632;42.004;17.931;HARD;5.0;True;McLaren;4.0
79;   01:38:32.693   ;NOR;4;   00:01:32.303   ;27.0;2.0;32.505;41.844;17.954;HARD;6.0;True;McLaren;4.0
80;   01:40:04.777   ;NOR;4;   00:01:32.084   ;28.0;2.0;32.409;41.727;17.948;HARD;7.0;True;McLaren;4.0
81;   01:41:36.953   ;NOR;4;   00:01:32.176   ;29.0;2.0;32.303;41.922;17.951;HARD;8.0;True;McLaren;4.0
82;   01:43:09.059   ;NOR;4;   00:01:32.106   ;30.0;2.0;32.193;41.861;18.052;HARD;9.0;True;McLaren;3.0
83;   01:44:40.819   ;NOR;4;   00:01:31.76  0 ;31.0;2.0;32.015;41.78;17.965;HARD;10.0;True;McLaren;3.0
84;   01:46:12.73  0 ;NOR;4;   00:01:31.911   ;32.0;2.0;32.079;41.898;17.934;HARD;11.0;True;McLaren;2.0
85;   01:47:44.636   ;NOR;4;   00:01:31.906   ;33.0;2.0;32.085;41.805;18.016;HARD;12.0;True;McLaren;2.0
86;   01:49:16.537   ;NOR;4;   00:01:31.901   ;34.0;2.0;32.047;41.96;17.894;HARD;13.0;True;McLaren;2.0
87;   01:50:48.513   ;NOR;4;   00:01:31.976   ;35.0;2.0;32.056;41.994;17.926;HARD;14.0;True;McLaren;2.0
88;   01:52:20.14  0 ;NOR;4;   00:01:31.627   ;36.0;2.0;31.933;41.85;17.844;HARD;15.0;True;McLaren;2.0
89;   01:53:51.876   ;NOR;4;   00:01:31.736   ;37.0;2.0;31.926;41.892;17.918;HARD;16.0;True;McLaren;2.0
90;   01:55:23.534   ;NOR;4;   00:01:31.658   ;38.0;2.0;31.82;41.951;17.887;HARD;17.0;True;McLaren;2.0
91;   01:56:55.497   ;NOR;4;   00:01:31.963   ;39.0;2.0;31.827;42.13;18.006;HARD;18.0;True;McLaren;2.0
92;   01:58:27.083   ;NOR;4;   00:01:31.586   ;40.0;2.0;31.881;41.83;17.875;HARD;19.0;True;McLaren;2.0
93;   01:59:58.604   ;NOR;4;   00:01:31.521   ;41.0;2.0;31.724;41.866;17.931;HARD;20.0;True;McLaren;2.0
94;   02:01:30.06  0 ;NOR;4;   00:01:31.456   ;42.0;2.0;31.76;41.86;17.836;HARD;21.0;True;McLaren;2.0
95;   02:03:01.633   ;NOR;4;   00:01:31.573   ;43.0;2.0;31.711;41.935;17.927;HARD;22.0;True;McLaren;2.0
96;   02:04:33.041   ;NOR;4;   00:01:31.408   ;44.0;2.0;31.677;41.782;17.949;HARD;23.0;True;McLaren;2.0
97;   02:06:04.565   ;NOR;4;   00:01:31.524   ;45.0;2.0;31.692;41.883;17.949;HARD;24.0;True;McLaren;2.0
98;   02:07:35.948   ;NOR;4;   00:01:31.383   ;46.0;2.0;31.607;41.908;17.868;HARD;25.0;True;McLaren;2.0
99;   02:09:07.312   ;NOR;4;   00:01:31.364   ;47.0;2.0;31.628;41.848;17.888;HARD;26.0;True;McLaren;2.0
100;   02:10:38.714   ;NOR;4;   00:01:31.402   ;48.0;2.0;31.493;41.969;17.94;HARD;27.0;True;McLaren;2.0
101;   02:12:10.175   ;NOR;4;   00:01:31.461   ;49.0;2.0;31.548;41.97;17.943;HARD;28.0;True;McLaren;2.0
102;   02:13:41.328   ;NOR;4;   00:01:31.153   ;50.0;2.0;31.46;41.784;17.909;HARD;29.0;True;McLaren;2.0
103;   02:15:12.444   ;NOR;4;   00:01:31.116   ;51.0;2.0;31.464;41.728;17.924;HARD;30.0;True;McLaren;2.0
104;   02:16:43.89  0 ;NOR;4;   00:01:31.446   ;52.0;2.0;31.35;42.06;18.036;HARD;31.0;True;McLaren;2.0
105;   02:18:15.313   ;NOR;4;   00:01:31.423   ;53.0;2.0;31.235;41.76;18.428;HARD;32.0;True;McLaren;2.0
106;   00:57:43.389   ;PIA;81;   00:01:36.482   ;1.0;1.0;33.936;42.151;18.336;MEDIUM;1.0;True;McLaren;3.0
107;   00:59:17.473   ;PIA;81;   00:01:34.084   ;2.0;1.0;33.936;41.858;18.29;MEDIUM;2.0;True;McLaren;3.0
108;   01:00:51.515   ;PIA;81;   00:01:34.042   ;3.0;1.0;33.517;42.133;18.392;MEDIUM;3.0;True;McLaren;3.0
109;   01:02:25.214   ;PIA;81;   00:01:33.699   ;4.0;1.0;33.268;42.124;18.307;MEDIUM;4.0;True;McLaren;3.0
110;   01:03:59.181   ;PIA;81;   00:01:33.967   ;5.0;1.0;33.372;42.313;18.282;MEDIUM;5.0;True;McLaren;3.0
111;   01:05:33.012   ;PIA;81;   00:01:33.831   ;6.0;1.0;33.423;42.2;18.208;MEDIUM;6.0;True;McLaren;3.0
112;   01:07:06.861   ;PIA;81;   00:01:33.849   ;7.0;1.0;33.261;42.321;18.267;MEDIUM;7.0;True;McLaren;3.0
113;   01:08:40.633   ;PIA;81;   00:01:33.772   ;8.0;1.0;33.108;42.368;18.296;MEDIUM;8.0;True;McLaren;3.0
114;   01:10:14.223   ;PIA;81;   00:01:33.59  0 ;9.0;1.0;32.892;42.469;18.229;MEDIUM;9.0;True;McLaren;3.0
115;   01:11:48.398   ;PIA;81;   00:01:34.175   ;10.0;1.0;33.557;42.358;18.26;MEDIUM;10.0;True;McLaren;3.0
116;   01:13:21.877   ;PIA;81;   00:01:33.479   ;11.0;1.0;32.995;42.273;18.211;MEDIUM;11.0;True;McLaren;3.0
117;   01:14:55.211   ;PIA;81;   00:01:33.334   ;12.0;1.0;32.725;42.416;18.193;MEDIUM;12.0;True;McLaren;3.0
118;   01:16:28.464   ;PIA;81;   00:01:33.253   ;13.0;1.0;32.732;42.36;18.161;MEDIUM;13.0;True;McLaren;3.0
119;   01:18:02.024   ;PIA;81;   00:01:33.56  0 ;14.0;1.0;32.817;42.554;18.189;MEDIUM;14.0;True;McLaren;3.0
120;   01:19:35.385   ;PIA;81;   00:01:33.361   ;15.0;1.0;32.823;42.364;18.174;MEDIUM;15.0;True;McLaren;3.0
121;   01:21:08.957   ;PIA;81;   00:01:33.572   ;16.0;1.0;32.869;42.503;18.2;MEDIUM;16.0;True;McLaren;3.0
122;   01:22:42.624   ;PIA;81;   00:01:33.667   ;17.0;1.0;32.895;42.574;18.198;MEDIUM;17.0;True;McLaren;3.0
123;   01:24:16.284   ;PIA;81;   00:01:33.66  0 ;18.0;1.0;32.913;42.528;18.219;MEDIUM;18.0;True;McLaren;3.0
124;   01:25:49.719   ;PIA;81;   00:01:33.435   ;19.0;1.0;32.824;42.465;18.146;MEDIUM;19.0;True;McLaren;3.0
125;   01:27:25.078   ;PIA;81;   00:01:35.359   ;20.0;1.0;32.616;42.366;20.377;MEDIUM;20.0;True;McLaren;3.0
126;   01:29:18.113   ;PIA;81;   00:01:53.035   ;21.0;2.0;53.115;41.802;18.118;HARD;1.0;True;McLaren;9.0
127;   01:30:51.957   ;PIA;81;   00:01:33.844   ;22.0;2.0;33.356;42.232;18.256;HARD;2.0;True;McLaren;7.0
128;   01:32:24.974   ;PIA;81;   00:01:33.017   ;23.0;2.0;32.826;42.102;18.089;HARD;3.0;True;McLaren;7.0
129;   01:33:57.36  0 ;PIA;81;   00:01:32.386   ;24.0;2.0;32.447;41.936;18.003;HARD;4.0;True;McLaren;6.0
130;   01:35:29.759   ;PIA;81;   00:01:32.399   ;25.0;2.0;32.376;41.853;18.17;HARD;5.0;True;McLaren;6.0
131;   01:37:02.199   ;PIA;81;   00:01:32.44  0 ;26.0;2.0;32.383;41.881;18.176;HARD;6.0;True;McLaren;5.0
132;   01:38:34.634   ;PIA;81;   00:01:32.435   ;27.0;2.0;32.342;41.983;18.11;HARD;7.0;True;McLaren;5.0
133;   01:40:06.776   ;PIA;81;   00:01:32.142   ;28.0;2.0;32.346;41.765;18.031;HARD;8.0;True;McLaren;5.0
134;   01:41:38.957   ;PIA;81;   00:01:32.181   ;29.0;2.0;32.362;41.856;17.963;HARD;9.0;True;McLaren;5.0
135;   01:43:11.004   ;PIA;81;   00:01:32.047   ;30.0;2.0;32.344;41.794;17.909;HARD;10.0;True;McLaren;5.0
136;   01:44:43.005   ;PIA;81;   00:01:32.001   ;31.0;2.0;32.231;41.816;17.954;HARD;11.0;True;McLaren;4.0
137;   01:46:14.833   ;PIA;81;   00:01:31.828   ;32.0;2.0;32.131;41.787;17.91;HARD;12.0;True;McLaren;3.0
138;   01:47:46.265   ;PIA;81;   00:01:31.432   ;33.0;2.0;31.987;41.515;17.93;HARD;13.0;True;McLaren;3.0
139;   01:49:17.946   ;PIA;81;   00:01:31.681   ;34.0;2.0;32.021;41.658;18.002;HARD;14.0;True;McLaren;3.0
140;   01:50:49.8  00 ;PIA;81;   00:01:31.854   ;35.0;2.0;31.963;41.83;18.061;HARD;15.0;True;McLaren;3.0
141;   01:52:21.415   ;PIA;81;   00:01:31.615   ;36.0;2.0;31.962;41.769;17.884;HARD;16.0;True;McLaren;3.0
142;   01:53:53.031   ;PIA;81;   00:01:31.616   ;37.0;2.0;31.852;41.788;17.976;HARD;17.0;True;McLaren;3.0
143;   01:55:24.793   ;PIA;81;   00:01:31.762   ;38.0;2.0;31.858;41.899;18.005;HARD;18.0;True;McLaren;3.0
144;   01:56:56.424   ;PIA;81;   00:01:31.631   ;39.0;2.0;31.856;41.814;17.961;HARD;19.0;True;McLaren;3.0
145;   01:58:27.899   ;PIA;81;   00:01:31.475   ;40.0;2.0;31.754;41.767;17.954;HARD;20.0;True;McLaren;3.0
146;   01:59:59.464   ;PIA;81;   00:01:31.565   ;41.0;2.0;31.799;41.804;17.962;HARD;21.0;True;McLaren;3.0
147;   02:01:30.794   ;PIA;81;   00:01:31.33  0 ;42.0;2.0;31.663;41.733;17.934;HARD;22.0;True;McLaren;3.0
148;   02:03:02.214   ;PIA;81;   00:01:31.42  0 ;43.0;2.0;31.629;41.763;18.028;HARD;23.0;True;McLaren;3.0
149;   02:04:34.089   ;PIA;81;   00:01:31.875   ;44.0;2.0;31.859;42.073;17.943;HARD;24.0;True;McLaren;3.0
150;   02:06:05.64  0 ;PIA;81;   00:01:31.551   ;45.0;2.0;31.703;41.872;17.976;HARD;25.0;True;McLaren;3.0
151;   02:07:36.924   ;PIA;81;   00:01:31.284   ;46.0;2.0;31.611;41.703;17.97;HARD;26.0;True;McLaren;3.0
152;   02:09:08.146   ;PIA;81;   00:01:31.222   ;47.0;2.0;31.547;41.703;17.972;HARD;27.0;True;McLaren;3.0
153;   02:10:39.255   ;PIA;81;   00:01:31.109   ;48.0;2.0;31.387;41.719;18.003;HARD;28.0;True;McLaren;3.0
154;   02:12:11.096   ;PIA;81;   00:01:31.841   ;49.0;2.0;31.819;42.03;17.992;HARD;29.0;True;McLaren;3.0
155;   02:13:42.64  0 ;PIA;81;   00:01:31.544   ;50.0;2.0;31.526;41.954;18.064;HARD;30.0;True;McLaren;3.0
156;   02:15:13.779   ;PIA;81;   00:01:31.139   ;51.0;2.0;31.518;41.697;17.924;HARD;31.0;True;McLaren;3.0
157;   02:16:44.98  0 ;PIA;81;   00:01:31.201   ;52.0;2.0;31.473;41.712;18.016;HARD;32.0;True;McLaren;3.0
158;   02:18:16.019   ;PIA;81;   00:01:31.039   ;53.0;2.0;31.335;41.643;18.061;HARD;33.0;True;McLaren;3.0
159;   00:57:44.278   ;LEC;16;   00:01:37.371   ;1.0;1.0;34.083;42.344;18.096;MEDIUM;1.0;True;Ferrari;4.0
160;   00:59:18.399   ;LEC;16;   00:01:34.121   ;2.0;1.0;34.083;42.034;18.004;MEDIUM;2.0;True;Ferrari;4.0
161;   01:00:52.528   ;LEC;16;   00:01:34.129   ;3.0;1.0;33.829;42.223;18.077;MEDIUM;3.0;True;Ferrari;4.0
162;   01:02:26.482   ;LEC;16;   00:01:33.954   ;4.0;1.0;33.762;42.115;18.077;MEDIUM;4.0;True;Ferrari;4.0
163;   01:04:00.36  0 ;LEC;16;   00:01:33.878   ;5.0;1.0;33.469;42.3;18.109;MEDIUM;5.0;True;Ferrari;4.0
164;   01:05:34.239   ;LEC;16;   00:01:33.879   ;6.0;1.0;33.43;42.456;17.993;MEDIUM;6.0;True;Ferrari;4.0
165;   01:07:08.136   ;LEC;16;   00:01:33.897   ;7.0;1.0;33.239;42.608;18.05;MEDIUM;7.0;True;Ferrari;4.0
166;   01:08:41.923   ;LEC;16;   00:01:33.787   ;8.0;1.0;33.188;42.528;18.071;MEDIUM;8.0;True;Ferrari;4.0
167;   01:10:15.978   ;LEC;16;   00:01:34.055   ;9.0;1.0;33.377;42.519;18.159;MEDIUM;9.0;True;Ferrari;4.0
168;   01:11:49.805   ;LEC;16;   00:01:33.827   ;10.0;1.0;33.18;42.456;18.191;MEDIUM;10.0;True;Ferrari;4.0
169;   01:13:23.469   ;LEC;16;   00:01:33.664   ;11.0;1.0;33.213;42.341;18.11;MEDIUM;11.0;True;Ferrari;4.0
170;   01:14:57.246   ;LEC;16;   00:01:33.777   ;12.0;1.0;33.162;42.489;18.126;MEDIUM;12.0;True;Ferrari;4.0
171;   01:16:30.659   ;LEC;16;   00:01:33.413   ;13.0;1.0;33.022;42.373;18.018;MEDIUM;13.0;True;Ferrari;4.0
172;   01:18:04.358   ;LEC;16;   00:01:33.699   ;14.0;1.0;33.119;42.409;18.171;MEDIUM;14.0;True;Ferrari;4.0
173;   01:19:37.833   ;LEC;16;   00:01:33.475   ;15.0;1.0;32.946;42.415;18.114;MEDIUM;15.0;True;Ferrari;4.0
174;   01:21:11.498   ;LEC;16;   00:01:33.665   ;16.0;1.0;33.001;42.498;18.166;MEDIUM;16.0;True;Ferrari;4.0
175;   01:22:45.307   ;LEC;16;   00:01:33.809   ;17.0;1.0;33.083;42.556;18.17;MEDIUM;17.0;True;Ferrari;4.0
176;   01:24:18.955   ;LEC;16;   00:01:33.648   ;18.0;1.0;32.959;42.491;18.198;MEDIUM;18.0;True;Ferrari;4.0
177;   01:25:52.5  00 ;LEC;16;   00:01:33.545   ;19.0;1.0;32.904;42.496;18.145;MEDIUM;19.0;True;Ferrari;4.0
178;   01:27:26.128   ;LEC;16;   00:01:33.628   ;20.0;1.0;33.011;42.433;18.184;MEDIUM;20.0;True;Ferrari;4.0
179;   01:29:01.551   ;LEC;16;   00:01:35.423   ;21.0;1.0;32.688;42.456;20.279;MEDIUM;21.0;True;Ferrari;3.0
180;   01:30:55.162   ;LEC;16;   00:01:53.611   ;22.0;2.0;54.102;41.743;17.766;HARD;1.0;True;Ferrari;10.0
