Id ;Time;Driver;DriverNumber;LapTime;LapNumber;Stint;Sector1Time;Sector2Time;Sector3Time;Compound;TyreLife;Team;Position
47; 02:17:23.451;VER;1; 00:01:32.563;48.0;2.0;34.127;29.104;29.332;HARD;41.0;Red Bull Racing;1.0
48; 02:18:55.614;VER;1; 00:01:32.163;49.0;2.0;33.841;29.093;29.229;HARD;42.0;Red Bull Racing;1.0
49; 02:20:27.387;VER;1; 00:01:31.773;50.0;2.0;33.781;28.864;29.128;HARD;43.0;Red Bull Racing;1.0
50; 01:01:45.752;GAS;10; 00:02:01.453;1.0;1.0;35.07;36.134;40.034;MEDIUM;1.0;Alpine;20.0
51; 01:01:21.347;PER;11; 00:01:37.222;1.0;1.0;35.07;29.831;29.801;MEDIUM;1.0;Red Bull Racing;3.0
52; 01:02:55.862;PER;11; 00:01:34.515;2.0;1.0;35.07;29.781;29.664;MEDIUM;2.0;Red Bull Racing;3.0
53; 01:04:29.917;PER;11; 00:01:34.055;3.0;1.0;34.799;29.603;29.653;MEDIUM;3.0;Red Bull Racing;3.0
54; 01:06:03.963;PER;11; 00:01:34.046;4.0;1.0;34.751;29.57;29.725;MEDIUM;4.0;Red Bull Racing;2.0
55; 01:07:38.048;PER;11; 00:01:34.085;5.0;1.0;34.625;29.673;29.787;MEDIUM;5.0;Red Bull Racing;2.0
56; 01:09:11.890;PER;11; 00:01:33.842;6.0;1.0;34.574;29.549;29.719;MEDIUM;6.0;Red Bull Racing;2.0
57; 01:11:16.505;PER;11; 00:02:04.615;7.0;1.0;34.591;43.307;46.717;MEDIUM;7.0;Red Bull Racing;2.0
58; 01:14:23.836;PER;11; 00:01:36.005;8.0;2.0;72.474;57.39;57.505;HARD;1.0;Red Bull Racing;4.0
59; 01:17:02.746;PER;11; 00:01:36.005;9.0;2.0;56.202;49.026;53.668;HARD;2.0;Red Bull Racing;4.0
60; 01:18:38.751;PER;11; 00:01:36.005;10.0;2.0;36.36;29.896;29.749;HARD;3.0;Red Bull Racing;4.0
61; 01:20:12.610;PER;11; 00:01:33.859;11.0;2.0;35.019;29.543;29.297;HARD;4.0;Red Bull Racing;4.0
62; 01:21:46.540;PER;11; 00:01:33.930;12.0;2.0;35.0;29.502;29.428;HARD;5.0;Red Bull Racing;4.0
63; 01:23:20.593;PER;11; 00:01:34.053;13.0;2.0;34.785;29.641;29.627;HARD;6.0;Red Bull Racing;3.0
64; 01:24:54.407;PER;11; 00:01:33.814;14.0;2.0;34.633;29.519;29.662;HARD;7.0;Red Bull Racing;3.0
65; 01:26:27.857;PER;11; 00:01:33.450;15.0;2.0;34.515;29.477;29.458;HARD;8.0;Red Bull Racing;3.0
66; 01:28:01.393;PER;11; 00:01:33.536;16.0;2.0;34.719;29.404;29.413;HARD;9.0;Red Bull Racing;3.0
67; 01:29:35.562;PER;11; 00:01:34.169;17.0;2.0;34.882;29.392;29.895;HARD;10.0;Red Bull Racing;3.0
68; 01:31:08.844;PER;11; 00:01:33.282;18.0;2.0;34.34;29.396;29.546;HARD;11.0;Red Bull Racing;2.0
69; 01:32:42.389;PER;11; 00:01:33.545;19.0;2.0;34.462;29.548;29.535;HARD;12.0;Red Bull Racing;2.0
70; 01:34:15.766;PER;11; 00:01:33.377;20.0;2.0;34.399;29.419;29.559;HARD;13.0;Red Bull Racing;2.0
71; 01:35:48.898;PER;11; 00:01:33.132;21.0;2.0;34.191;29.457;29.484;HARD;14.0;Red Bull Racing;2.0
72; 01:37:21.962;PER;11; 00:01:33.064;22.0;2.0;34.206;29.341;29.517;HARD;15.0;Red Bull Racing;2.0
73; 01:38:54.932;PER;11; 00:01:32.970;23.0;2.0;34.259;29.346;29.365;HARD;16.0;Red Bull Racing;2.0
74; 01:40:27.727;PER;11; 00:01:32.795;24.0;2.0;34.002;29.272;29.521;HARD;17.0;Red Bull Racing;2.0
75; 01:42:00.756;PER;11; 00:01:33.029;25.0;2.0;34.219;29.359;29.451;HARD;18.0;Red Bull Racing;2.0
76; 01:43:33.506;PER;11; 00:01:32.750;26.0;2.0;33.951;29.309;29.49;HARD;19.0;Red Bull Racing;2.0
77; 01:45:06.240;PER;11; 00:01:32.734;27.0;2.0;34.045;29.275;29.414;HARD;20.0;Red Bull Racing;2.0
78; 01:46:39.208;PER;11; 00:01:32.968;28.0;2.0;34.129;29.353;29.486;HARD;21.0;Red Bull Racing;2.0
79; 01:48:11.879;PER;11; 00:01:32.671;29.0;2.0;34.061;29.24;29.37;HARD;22.0;Red Bull Racing;2.0
80; 01:49:44.661;PER;11; 00:01:32.782;30.0;2.0;34.063;29.212;29.507;HARD;23.0;Red Bull Racing;2.0
81; 01:51:17.486;PER;11; 00:01:32.825;31.0;2.0;33.992;29.256;29.577;HARD;24.0;Red Bull Racing;2.0
82; 01:52:49.992;PER;11; 00:01:32.506;32.0;2.0;33.975;29.178;29.353;HARD;25.0;Red Bull Racing;2.0
83; 01:54:22.556;PER;11; 00:01:32.564;33.0;2.0;33.985;29.217;29.362;HARD;26.0;Red Bull Racing;2.0
84; 01:55:55.187;PER;11; 00:01:32.631;34.0;2.0;34.056;29.271;29.304;HARD;27.0;Red Bull Racing;2.0
85; 01:57:27.605;PER;11; 00:01:32.418;35.0;2.0;34.0;29.139;29.279;HARD;28.0;Red Bull Racing;2.0
86; 01:58:59.968;PER;11; 00:01:32.363;36.0;2.0;33.948;29.135;29.28;HARD;29.0;Red Bull Racing;2.0
87; 02:00:32.241;PER;11; 00:01:32.273;37.0;2.0;33.781;29.236;29.256;HARD;30.0;Red Bull Racing;2.0
88; 02:02:04.952;PER;11; 00:01:32.711;38.0;2.0;34.097;29.253;29.361;HARD;31.0;Red Bull Racing;2.0
89; 02:03:37.302;PER;11; 00:01:32.350;39.0;2.0;33.952;29.194;29.204;HARD;32.0;Red Bull Racing;2.0
90; 02:05:10.022;PER;11; 00:01:32.720;40.0;2.0;34.179;29.155;29.386;HARD;33.0;Red Bull Racing;2.0
91; 02:06:42.502;PER;11; 00:01:32.480;41.0;2.0;34.098;29.123;29.259;HARD;34.0;Red Bull Racing;2.0
92; 02:08:14.935;PER;11; 00:01:32.433;42.0;2.0;33.903;29.159;29.371;HARD;35.0;Red Bull Racing;2.0
93; 02:09:47.327;PER;11; 00:01:32.392;43.0;2.0;33.987;29.093;29.312;HARD;36.0;Red Bull Racing;2.0
94; 02:11:19.768;PER;11; 00:01:32.441;44.0;2.0;33.983;29.167;29.291;HARD;37.0;Red Bull Racing;2.0
95; 02:12:52.330;PER;11; 00:01:32.562;45.0;2.0;34.187;29.142;29.233;HARD;38.0;Red Bull Racing;2.0
96; 02:14:24.811;PER;11; 00:01:32.481;46.0;2.0;34.002;29.207;29.272;HARD;39.0;Red Bull Racing;2.0
97; 02:15:57.643;PER;11; 00:01:32.832;47.0;2.0;34.183;29.257;29.392;HARD;40.0;Red Bull Racing;2.0
98; 02:17:30.157;PER;11; 00:01:32.514;48.0;2.0;33.997;29.17;29.347;HARD;41.0;Red Bull Racing;2.0
99; 02:19:03.186;PER;11; 00:01:33.029;49.0;2.0;34.483;29.092;29.454;HARD;42.0;Red Bull Racing;2.0
100; 02:20:36.017;PER;11; 00:01:32.831;50.0;2.0;34.299;29.185;29.347;HARD;43.0;Red Bull Racing;2.0
101; 01:01:22.632;ALO;14; 00:01:38.507;1.0;1.0;35945;30.035;30.287;MEDIUM;2.0;Aston Martin;4.0
102; 01:02:58.356;ALO;14; 00:01:35.724;2.0;1.0;35.945;29.705;30.074;MEDIUM;3.0;Aston Martin;5.0
103; 01:04:32.795;ALO;14; 00:01:34.439;3.0;1.0;35.214;29.443;29.782;MEDIUM;4.0;Aston Martin;5.0
104; 01:06:07.541;ALO;14; 00:01:34.746;4.0;1.0;35.313;29.54;29.893;MEDIUM;5.0;Aston Martin;5.0
105; 01:07:42.053;ALO;14; 00:01:34.512;5.0;1.0;35.061;29.628;29.823;MEDIUM;6.0;Aston Martin;5.0
106; 01:09:16.533;ALO;14; 00:01:34.480;6.0;1.0;35.089;29.616;29.775;MEDIUM;7.0;Aston Martin;5.0
107; 01:11:23.416;ALO;14; 00:02:06.883;7.0;1.0;35.084;46.252;45.547;MEDIUM;8.0;Aston Martin;5.0
108; 01:14:28.719;ALO;14; 00:01:37.296;8.0;2.0;69.823;57.417;58.052;HARD;2.0;Aston Martin;7.0
109; 01:17:03.657;ALO;14; 00:01:37.296;9.0;2.0;55.441;49.285;50.242;HARD;3.0;Aston Martin;7.0
110; 01:18:40.953;ALO;14; 00:01:37.296;10.0;2.0;36.944;30.179;30.173;HARD;4.0;Aston Martin;7.0
111; 01:20:15.483;ALO;14; 00:01:34.530;11.0;2.0;35.307;29.584;29.639;HARD;5.0;Aston Martin;7.0
