Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position
GAS,10, 00:01:49.907,1.0,1.0,27.391,32.305,45.417,MEDIUM,1.0,Alpine,14.0
GAS,10, 00:01:43.179,2.0,1.0,27.391,31.424,44.364,MEDIUM,2.0,Alpine,14.0
GAS,10, 00:01:43.012,3.0,1.0,27.238,31.321,44.453,MEDIUM,3.0,Alpine,14.0
GAS,10, 00:01:42.847,4.0,1.0,27.15,31.25,44.447,MEDIUM,4.0,Alpine,14.0
GAS,10, 00:01:43.552,5.0,1.0,27.593,31.399,44.56,MEDIUM,5.0,Alpine,14.0
GAS,10, 00:01:43.494,6.0,1.0,27.579,31.338,44.577,MEDIUM,6.0,Alpine,14.0
GAS,10, 00:01:43.352,7.0,1.0,27.528,31.299,44.525,MEDIUM,7.0,Alpine,14.0
GAS,10, 00:01:43.871,8.0,1.0,27.673,31.519,44.679,MEDIUM,8.0,Alpine,13.0
GAS,10, 00:01:43.691,9.0,1.0,27.522,31.562,44.607,MEDIUM,9.0,Alpine,10.0
GAS,10, 00:01:43.435,10.0,1.0,27.311,31.437,44.687,MEDIUM,10.0,Alpine,9.0
GAS,10, 00:01:48.722,11.0,1.0,27.727,31.204,49.791,MEDIUM,11.0,Alpine,11.0
GAS,10, 00:02:17.655,12.0,2.0,63.258,30.614,43.783,HARD,1.0,Alpine,20.0
GAS,10, 00:01:41.071,13.0,2.0,27.043,30.265,43.763,HARD,2.0,Alpine,20.0
GAS,10, 00:01:41.893,14.0,2.0,27.333,30.439,44.121,HARD,3.0,Alpine,20.0
GAS,10, 00:01:41.679,15.0,2.0,27.204,30.382,44.093,HARD,4.0,Alpine,20.0
GAS,10, 00:01:42.107,16.0,2.0,27.248,30.667,44.192,HARD,5.0,Alpine,20.0
GAS,10, 00:01:41.956,17.0,2.0,27.303,30.519,44.134,HARD,6.0,Alpine,20.0
GAS,10, 00:01:41.812,18.0,2.0,27.118,30.516,44.178,HARD,7.0,Alpine,19.0
GAS,10, 00:01:42.136,19.0,2.0,27.302,30.451,44.383,HARD,8.0,Alpine,19.0
GAS,10, 00:01:42.229,20.0,2.0,27.252,30.52,44.457,HARD,9.0,Alpine,18.0
GAS,10, 00:02:03.250,21.0,2.0,27.165,37.882,58.203,HARD,10.0,Alpine,18.0
GAS,10, 00:02:14.094,22.0,2.0,37.197,41.731,55.166,HARD,11.0,Alpine,18.0
GAS,10, 00:02:18.481,23.0,2.0,36.277,39.366,62.838,HARD,12.0,Alpine,19.0
GAS,10, 00:02:29.898,24.0,3.0,52.564,41.574,55.76,HARD,1.0,Alpine,19.0
GAS,10, 00:01:49.465,25.0,3.0,29.146,33.221,47.098,HARD,2.0,Alpine,19.0
GAS,10, 00:02:12.450,26.0,3.0,29.516,39.105,63.829,HARD,3.0,Alpine,18.0
GAS,10, 00:01:58.826,27.0,3.0,27.235,32.258,59.333,HARD,4.0,Alpine,16.0
GAS,10, 00:02:26.862,28.0,3.0,32.193,51.095,63.574,HARD,5.0,Alpine,16.0
GAS,10, 00:02:26.365,29.0,3.0,40.034,45.883,60.448,HARD,6.0,Alpine,16.0
GAS,10, 00:02:20.888,30.0,3.0,35.686,45.132,60.07,HARD,7.0,Alpine,16.0
GAS,10, 00:02:19.270,31.0,3.0,35.216,44.757,59.297,HARD,8.0,Alpine,16.0
GAS,10, 00:01:41.886,32.0,3.0,26.989,30.76,44.137,HARD,9.0,Alpine,16.0
